		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/99	1:00 a	10.3	10.9	10.0	---	---	0.0	SE	0.00	1.8	---	10.3	---	---	---	782.0	0.00	---	---	---	---	---	---	---	0.336	0.000	17.0	38	2.6	15.4	---	---	1	---	60
01/01/99	2:00 a	9.6	10.1	9.1	---	---	0.0	SE	0.00	1.3	---	9.6	---	---	---	781.9	0.00	---	---	---	---	---	---	---	0.363	0.000	16.9	40	3.2	15.4	---	---	1	---	60
01/01/99	3:00 a	8.9	9.2	8.5	---	---	0.0	WSW	0.00	1.8	---	8.9	---	---	---	782.0	0.00	---	---	---	---	---	---	---	0.394	0.000	16.8	40	3.1	15.3	---	---	1	---	60
01/01/99	4:00 a	8.3	8.6	8.2	---	---	0.0	WSW	0.00	1.3	---	8.3	---	---	---	781.9	0.00	---	---	---	---	---	---	---	0.417	0.000	16.6	40	2.9	15.1	---	---	1	---	60
01/01/99	5:00 a	8.2	8.4	7.7	---	---	0.4	SW	1.61	2.2	---	8.2	---	---	---	781.8	0.00	---	---	---	---	---	---	---	0.424	0.000	16.4	40	2.8	14.9	---	---	1	---	60
01/01/99	6:00 a	7.4	7.7	7.3	---	---	0.0	S	0.00	0.9	---	7.4	---	---	---	782.0	0.00	---	---	---	---	---	---	---	0.454	0.000	16.3	40	2.6	14.8	---	---	1	---	60
01/01/99	7:00 a	7.4	7.5	7.2	---	---	0.9	S	3.22	1.8	---	7.4	---	---	---	782.5	0.00	---	---	---	---	---	---	---	0.456	0.000	16.1	40	2.5	14.6	---	---	1	---	60
01/01/99	8:00 a	7.3	8.3	7.0	---	---	0.4	WSW	1.61	1.8	---	7.3	---	---	---	783.0	0.00	---	---	---	---	---	---	---	0.461	0.000	15.9	41	2.6	14.4	---	---	1	---	60
01/01/99	9:00 a	10.4	12.2	8.3	---	---	0.0	WSW	0.00	0.9	---	10.4	---	---	---	783.4	0.00	---	---	---	---	---	---	---	0.331	0.000	15.9	42	3.0	14.5	---	---	1	---	60
