		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
15/02/00	9:00 p	18.8	19.7	18.2	21	-4.0	0.4	WSW	1.61	3.1	---	18.8	16.1	16.1	---	787.0	0.00	---	---	---	---	---	---	---	0.000	0.021	20.2	32	3.0	18.3	---	---	1	---	60
15/02/00	10:00 p	17.7	18.6	16.8	22	-4.3	0.4	S	1.61	2.7	---	17.7	15.0	15.0	---	787.5	0.00	---	---	---	---	---	---	---	0.028	0.000	19.3	27	-0.2	16.9	---	---	1	---	60
15/02/00	11:00 p	16.1	16.8	15.1	24	-4.5	0.0	S	0.00	1.8	---	16.1	13.6	13.6	---	788.0	0.00	---	---	---	---	---	---	---	0.095	0.000	19.2	24	-1.9	16.6	---	---	1	---	60
16/02/00	12:00 a	14.6	15.2	13.6	27	-4.2	0.0	SSE	0.00	1.3	---	14.6	12.6	12.6	---	787.5	0.00	---	---	---	---	---	---	---	0.155	0.000	19.1	22	-3.2	16.3	---	---	1	---	60
16/02/00	1:00 a	13.1	13.6	12.9	34	-2.4	0.0	SSE	0.00	2.2	---	13.1	11.6	11.6	---	787.2	0.00	---	---	---	---	---	---	---	0.218	0.000	19.1	24	-2.0	16.4	---	---	1	---	60
16/02/00	2:00 a	12.8	13.4	12.1	33	-3.1	0.4	SW	1.61	2.2	---	12.8	11.3	11.3	---	787.2	0.00	---	---	---	---	---	---	---	0.231	0.000	18.9	26	-1.0	16.4	---	---	1	---	60
16/02/00	3:00 a	11.9	12.3	11.3	31	-4.7	0.0	SE	0.00	1.8	---	11.9	10.4	10.4	---	786.6	0.00	---	---	---	---	---	---	---	0.269	0.000	18.6	23	-3.0	15.9	---	---	1	---	60
16/02/00	4:00 a	11.1	11.4	10.5	34	-4.2	0.4	SSW	1.61	1.8	---	11.1	9.9	9.9	---	786.6	0.00	---	---	---	---	---	---	---	0.303	0.000	18.3	23	-3.2	15.7	---	---	1	---	60
16/02/00	5:00 a	10.0	10.6	9.6	36	-4.4	0.0	SSW	0.00	0.4	---	10.0	9.1	9.1	---	786.4	0.00	---	---	---	---	---	---	---	0.347	0.000	18.3	24	-2.7	15.7	---	---	1	---	60
16/02/00	6:00 a	9.3	9.9	8.9	40	-3.6	0.0	---	0.00	0.0	---	9.3	8.5	8.5	---	786.6	0.00	---	---	---	---	---	---	---	0.375	0.000	18.2	25	-2.2	15.7	---	---	1	---	60
16/02/00	7:00 a	8.9	9.2	8.6	40	-4.0	0.0	SSW	0.00	0.4	---	8.9	8.1	8.1	---	787.1	0.00	---	---	---	---	---	---	---	0.394	0.000	17.9	26	-1.9	15.5	---	---	1	---	60
16/02/00	8:00 a	9.9	11.7	8.9	36	-4.5	0.0	SSW	0.00	0.4	---	9.9	8.9	8.9	---	787.5	0.00	---	---	---	---	---	---	---	0.352	0.000	17.8	26	-2.0	15.4	---	---	1	---	60
16/02/00	9:00 a	13.5	14.7	11.7	27	-5.2	0.0	ESE	0.00	1.8	---	13.5	11.6	11.6	---	788.0	0.00	---	---	---	---	---	---	---	0.201	0.000	17.9	26	-1.9	15.4	---	---	1	---	60
16/02/00	10:00 a	16.6	18.7	14.6	26	-3.0	0.0	E	0.00	2.2	---	16.6	14.3	14.3	---	788.4	0.00	---	---	---	---	---	---	---	0.072	0.000	18.1	26	-1.7	15.7	---	---	1	---	60
