		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
01/01/01	12:30 a	66.1	---	16.2	40	46.9	0.0	E	0.00	6.7	---	66.1	272.4	272.4	---	783.2	5.00	---	---	---	---	---	---	---	0.000	0.995	19.1	38	4.4	17.5	---	---	1	---	30
08/02/01	4:30 p	18.1	18.3	17.8	33	1.5	0.0	NW	0.00	0.4	---	18.1	16.2	16.2	---	783.1	0.00	---	---	---	---	---	---	---	0.006	0.000	18.4	34	2.3	16.6	---	---	1	---	30
08/02/01	5:00 p	18.4	18.5	18.3	31	1.0	0.0	---	0.00	0.0	---	18.4	16.4	16.4	---	783.1	0.00	---	---	---	---	---	---	---	0.000	0.002	18.7	33	2.1	16.8	---	---	1	---	30
08/02/01	5:30 p	18.3	18.4	18.3	36	3.0	0.0	---	0.00	0.0	---	18.3	16.6	16.6	---	783.1	0.00	---	---	---	---	---	---	---	0.000	0.000	18.6	34	2.4	16.7	---	---	1	---	30
08/02/01	6:00 p	18.1	18.3	17.8	39	3.9	0.0	---	0.00	0.0	---	18.1	16.5	16.5	---	783.1	0.00	---	---	---	---	---	---	---	0.006	0.000	18.4	36	3.0	16.7	---	---	1	---	30
08/02/01	6:30 p	17.7	17.8	17.6	40	3.9	0.0	---	0.00	0.0	---	17.7	16.2	16.2	---	783.4	0.00	---	---	---	---	---	---	---	0.014	0.000	18.2	37	3.3	16.6	---	---	1	---	30
08/02/01	7:00 p	17.6	17.7	17.6	42	4.5	0.0	---	0.00	0.0	---	17.6	16.2	16.2	---	783.6	0.00	---	---	---	---	---	---	---	0.015	0.000	18.2	38	3.7	16.6	---	---	1	---	30
08/02/01	7:30 p	17.8	17.9	17.7	44	5.4	0.0	---	0.00	0.0	---	17.8	16.5	16.5	---	783.9	0.00	---	---	---	---	---	---	---	0.012	0.000	18.3	40	4.5	16.9	---	---	1	---	30
08/02/01	8:00 p	17.9	17.9	17.8	43	5.1	0.0	---	0.00	0.0	---	17.9	16.6	16.6	---	784.4	0.00	---	---	---	---	---	---	---	0.009	0.000	18.4	39	4.2	16.9	---	---	1	---	30
08/02/01	8:30 p	17.7	17.8	17.6	43	5.0	0.0	---	0.00	0.0	---	17.7	16.4	16.4	---	784.7	0.00	---	---	---	---	---	---	---	0.013	0.000	18.3	39	4.1	16.8	---	---	1	---	30
08/02/01	9:00 p	17.6	17.6	17.6	44	5.2	0.0	---	0.00	0.0	---	17.6	16.3	16.3	---	785.2	0.00	---	---	---	---	---	---	---	0.015	0.000	18.3	39	4.1	16.8	---	---	1	---	30
08/02/01	9:30 p	17.6	17.6	17.5	44	5.2	0.0	---	0.00	0.0	---	17.6	16.3	16.3	---	785.5	0.00	---	---	---	---	---	---	---	0.016	0.000	18.3	39	4.1	16.8	---	---	1	---	30
08/02/01	10:00 p	17.5	17.5	17.4	42	4.4	0.0	---	0.00	0.0	---	17.5	16.1	16.1	---	785.8	0.00	---	---	---	---	---	---	---	0.017	0.000	18.3	38	3.7	16.7	---	---	1	---	30
08/02/01	10:30 p	17.4	17.4	17.4	41	4.0	0.0	---	0.00	0.0	---	17.4	16.0	16.0	---	785.9	0.00	---	---	---	---	---	---	---	0.019	0.000	18.2	38	3.6	16.6	---	---	1	---	30
08/02/01	11:00 p	17.4	17.4	17.3	42	4.3	0.0	---	0.00	0.0	---	17.4	16.0	16.0	---	785.9	0.00	---	---	---	---	---	---	---	0.020	0.000	18.1	38	3.6	16.5	---	---	1	---	30
08/02/01	11:30 p	17.3	17.3	17.3	42	4.2	0.0	---	0.00	0.0	---	17.3	15.9	15.9	---	785.6	0.00	---	---	---	---	---	---	---	0.022	0.000	18.1	38	3.5	16.4	---	---	1	---	30
09/02/01	12:00 a	17.2	17.3	17.2	42	4.2	0.0	---	0.00	0.0	---	17.2	15.8	15.8	---	785.5	0.00	---	---	---	---	---	---	---	0.023	0.000	18.0	38	3.5	16.4	---	---	1	---	30
09/02/01	12:30 a	17.2	17.2	17.1	43	4.5	0.0	---	0.00	0.0	---	17.2	15.8	15.8	---	785.8	0.00	---	---	---	---	---	---	---	0.024	0.000	17.8	38	3.3	16.2	---	---	1	---	30
09/02/01	1:00 a	16.9	17.1	16.8	44	4.6	0.0	---	0.00	0.0	---	16.9	15.6	15.6	---	785.6	0.00	---	---	---	---	---	---	---	0.029	0.000	17.7	39	3.5	16.1	---	---	1	---	30
09/02/01	1:30 a	16.7	16.8	16.7	45	4.7	0.0	---	0.00	0.0	---	16.7	15.4	15.4	---	785.6	0.00	---	---	---	---	---	---	---	0.034	0.000	17.5	40	3.7	16.0	---	---	1	---	30
09/02/01	2:00 a	16.7	16.7	16.6	46	5.0	0.0	---	0.00	0.0	---	16.7	15.4	15.4	---	785.5	0.00	---	---	---	---	---	---	---	0.035	0.000	17.4	40	3.7	15.9	---	---	1	---	30
09/02/01	2:30 a	16.6	16.6	16.5	46	4.9	0.0	---	0.00	0.0	---	16.6	15.3	15.3	---	785.6	0.00	---	---	---	---	---	---	---	0.037	0.000	17.3	41	3.9	15.9	---	---	1	---	30
09/02/01	3:00 a	16.6	16.7	16.5	45	4.6	0.0	---	0.00	0.0	---	16.6	15.3	15.3	---	785.3	0.00	---	---	---	---	---	---	---	0.036	0.000	17.3	40	3.6	15.8	---	---	1	---	30
09/02/01	3:30 a	16.3	16.6	16.2	46	4.6	0.0	---	0.00	0.0	---	16.3	15.1	15.1	---	785.3	0.00	---	---	---	---	---	---	---	0.043	0.000	17.1	40	3.4	15.6	---	---	1	---	30
09/02/01	4:00 a	16.3	16.3	16.2	46	4.6	0.0	---	0.00	0.0	---	16.3	15.1	15.1	---	785.4	0.00	---	---	---	---	---	---	---	0.043	0.000	17.1	40	3.4	15.6	---	---	1	---	30
09/02/01	4:30 a	16.2	16.3	16.1	46	4.6	0.0	---	0.00	0.0	---	16.2	15.0	15.0	---	785.3	0.00	---	---	---	---	---	---	---	0.044	0.000	17.1	41	3.7	15.6	---	---	1	---	30
09/02/01	5:00 a	16.0	16.1	15.9	45	4.1	0.0	---	0.00	0.0	---	16.0	14.7	14.7	---	785.3	0.00	---	---	---	---	---	---	---	0.049	0.000	16.8	40	3.1	15.3	---	---	1	---	30
09/02/01	5:30 a	16.0	16.1	15.9	45	4.1	0.0	---	0.00	0.0	---	16.0	14.7	14.7	---	785.4	0.00	---	---	---	---	---	---	---	0.049	0.000	16.8	39	2.8	15.3	---	---	1	---	30
09/02/01	6:00 a	16.1	16.2	16.1	46	4.5	0.0	---	0.00	0.0	---	16.1	14.9	14.9	---	785.7	0.00	---	---	---	---	---	---	---	0.046	0.000	16.9	40	3.2	15.4	---	---	1	---	30
09/02/01	6:30 a	16.1	16.1	16.0	45	4.1	0.0	---	0.00	0.0	---	16.1	14.8	14.8	---	786.1	0.00	---	---	---	---	---	---	---	0.047	0.000	16.8	40	3.1	15.3	---	---	1	---	30
09/02/01	7:00 a	16.1	16.2	16.0	46	4.4	0.0	---	0.00	0.0	---	16.1	14.8	14.8	---	786.1	0.00	---	---	---	---	---	---	---	0.047	0.000	16.8	40	3.1	15.3	---	---	1	---	30
09/02/01	7:30 a	15.9	16.0	15.7	47	4.6	0.0	---	0.00	0.0	---	15.9	14.7	14.7	---	786.4	0.00	---	---	---	---	---	---	---	0.051	0.000	16.7	41	3.3	15.2	---	---	1	---	30
09/02/01	8:00 a	15.8	15.9	15.7	47	4.5	0.0	---	0.00	0.0	---	15.8	14.6	14.6	---	786.7	0.00	---	---	---	---	---	---	---	0.053	0.000	16.6	41	3.3	15.2	---	---	1	---	30
09/02/01	8:30 a	16.0	16.1	15.9	46	4.4	0.0	---	0.00	0.0	---	16.0	14.8	14.8	---	786.9	0.00	---	---	---	---	---	---	---	0.049	0.000	16.8	41	3.4	15.3	---	---	1	---	30
09/02/01	9:00 a	16.2	16.3	16.1	46	4.6	0.0	---	0.00	0.0	---	16.2	15.0	15.0	---	787.0	0.00	---	---	---	---	---	---	---	0.044	0.000	16.9	41	3.6	15.5	---	---	1	---	30
09/02/01	9:30 a	16.4	16.5	16.3	46	4.8	0.0	---	0.00	0.0	---	16.4	15.2	15.2	---	787.0	0.00	---	---	---	---	---	---	---	0.039	0.000	17.1	41	3.7	15.7	---	---	1	---	30
09/02/01	10:00 a	16.6	16.7	16.5	46	4.9	0.0	---	0.00	0.0	---	16.6	15.4	15.4	---	787.2	0.00	---	---	---	---	---	---	---	0.036	0.000	17.3	41	3.9	15.8	---	---	1	---	30
09/02/01	10:30 a	16.8	16.8	16.7	46	5.1	0.0	---	0.00	0.0	---	16.8	15.6	15.6	---	787.1	0.00	---	---	---	---	---	---	---	0.032	0.000	17.4	41	4.0	15.9	---	---	1	---	30
09/02/01	11:00 a	16.9	16.9	16.8	46	5.2	0.0	---	0.00	0.0	---	16.9	15.7	15.7	---	786.7	0.00	---	---	---	---	---	---	---	0.030	0.000	17.5	41	4.1	16.1	---	---	1	---	30
09/02/01	11:30 a	16.9	17.0	16.9	45	4.9	0.0	---	0.00	0.0	---	16.9	15.7	15.7	---	786.4	0.00	---	---	---	---	---	---	---	0.029	0.000	17.6	41	4.2	16.2	---	---	1	---	30
09/02/01	12:00 p	17.0	17.0	16.9	44	4.6	0.0	---	0.00	0.0	---	17.0	15.7	15.7	---	786.1	0.00	---	---	---	---	---	---	---	0.028	0.000	17.6	40	3.8	16.1	---	---	1	---	30
09/02/01	12:30 p	17.0	17.1	17.0	44	4.6	0.0	---	0.00	0.0	---	17.0	15.7	15.7	---	785.6	0.00	---	---	---	---	---	---	---	0.028	0.000	17.7	40	3.9	16.2	---	---	1	---	30
09/02/01	1:00 p	17.1	17.1	17.1	43	4.4	0.0	---	0.00	0.0	---	17.1	15.7	15.7	---	785.3	0.00	---	---	---	---	---	---	---	0.027	0.000	17.7	39	3.6	16.2	---	---	1	---	30
09/02/01	1:30 p	17.1	17.1	17.1	42	4.1	0.0	---	0.00	0.0	---	17.1	15.7	15.7	---	785.0	0.00	---	---	---	---	---	---	---	0.025	0.000	17.7	38	3.2	16.1	---	---	1	---	30
09/02/01	2:00 p	17.2	17.2	17.1	41	3.8	0.0	---	0.00	0.0	---	17.2	15.7	15.7	---	784.5	0.00	---	---	---	---	---	---	---	0.024	0.000	17.8	38	3.3	16.2	---	---	1	---	30
09/02/01	2:30 p	17.2	17.2	17.2	41	3.8	0.0	---	0.00	0.0	---	17.2	15.8	15.8	---	784.2	0.00	---	---	---	---	---	---	---	0.023	0.000	17.8	38	3.3	16.2	---	---	1	---	30
09/02/01	3:00 p	17.3	17.3	17.2	40	3.5	0.0	---	0.00	0.0	---	17.3	15.8	15.8	---	784.0	0.00	---	---	---	---	---	---	---	0.022	0.000	17.9	37	3.0	16.2	---	---	1	---	30
09/02/01	3:30 p	17.3	17.3	17.3	40	3.5	0.0	---	0.00	0.0	---	17.3	15.8	15.8	---	783.9	0.00	---	---	---	---	---	---	---	0.022	0.000	17.9	37	3.0	16.3	---	---	1	---	30
09/02/01	4:00 p	17.3	17.4	17.3	40	3.6	0.0	---	0.00	0.0	---	17.3	15.8	15.8	---	783.8	0.00	---	---	---	---	---	---	---	0.021	0.000	18.0	37	3.1	16.3	---	---	1	---	30
09/02/01	4:30 p	17.4	17.4	17.3	40	3.6	0.0	---	0.00	0.0	---	17.4	15.9	15.9	---	783.9	0.00	---	---	---	---	---	---	---	0.020	0.000	18.0	37	3.1	16.3	---	---	1	---	30
09/02/01	5:00 p	17.4	17.4	17.4	40	3.7	0.0	---	0.00	0.0	---	17.4	15.9	15.9	---	784.1	0.00	---	---	---	---	---	---	---	0.019	0.000	18.1	37	3.1	16.4	---	---	1	---	30
09/02/01	5:30 p	17.4	17.5	17.4	40	3.7	0.0	---	0.00	0.0	---	17.4	15.9	15.9	---	784.2	0.00	---	---	---	---	---	---	---	0.019	0.000	18.1	37	3.2	16.4	---	---	1	---	30
09/02/01	6:00 p	17.5	17.6	17.4	41	4.1	0.0	---	0.00	0.0	---	17.5	16.1	16.1	---	784.4	0.00	---	---	---	---	---	---	---	0.017	0.000	18.1	37	3.2	16.4	---	---	1	---	30
09/02/01	6:30 p	17.7	17.8	17.6	38	3.2	0.0	---	0.00	0.0	---	17.7	16.1	16.1	---	784.7	0.00	---	---	---	---	---	---	---	0.014	0.000	18.2	37	3.3	16.6	---	---	1	---	30
09/02/01	7:00 p	17.8	17.8	17.8	35	2.1	0.0	---	0.00	0.0	---	17.8	16.0	16.0	---	785.0	0.00	---	---	---	---	---	---	---	0.012	0.000	18.3	35	2.5	16.5	---	---	1	---	30
09/02/01	7:30 p	17.7	17.8	17.7	33	1.2	0.0	---	0.00	0.0	---	17.7	15.8	15.8	---	785.2	0.00	---	---	---	---	---	---	---	0.013	0.000	18.3	33	1.7	16.4	---	---	1	---	30
09/02/01	8:00 p	17.7	17.7	17.6	31	0.3	0.0	---	0.00	0.0	---	17.7	15.7	15.7	---	785.4	0.00	---	---	---	---	---	---	---	0.014	0.000	18.3	32	1.3	16.3	---	---	1	---	30
09/02/01	8:30 p	17.7	17.8	17.6	31	0.3	0.0	---	0.00	0.0	---	17.7	15.7	15.7	---	785.8	0.00	---	---	---	---	---	---	---	0.014	0.000	18.3	31	0.9	16.3	---	---	1	---	30
09/02/01	9:00 p	17.8	17.8	17.8	31	0.4	0.0	---	0.00	0.0	---	17.8	15.8	15.8	---	785.8	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	31	0.9	16.4	---	---	1	---	30
09/02/01	9:30 p	17.8	17.8	17.7	31	0.4	0.0	---	0.00	0.0	---	17.8	15.8	15.8	---	785.9	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	31	0.9	16.4	---	---	1	---	30
09/02/01	10:00 p	17.7	17.8	17.7	30	-0.1	0.0	---	0.00	0.0	---	17.7	15.7	15.7	---	785.9	0.00	---	---	---	---	---	---	---	0.013	0.000	18.4	31	0.9	16.4	---	---	1	---	30
09/02/01	10:30 p	17.8	17.8	17.7	30	-0.0	0.0	---	0.00	0.0	---	17.8	15.7	15.7	---	786.1	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	30	0.5	16.4	---	---	1	---	30
09/02/01	11:00 p	17.8	17.8	17.7	30	-0.0	0.0	---	0.00	0.0	---	17.8	15.7	15.7	---	786.0	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	30	0.5	16.4	---	---	1	---	30
09/02/01	11:30 p	17.7	17.8	17.7	29	-0.6	0.0	---	0.00	0.0	---	17.7	15.6	15.6	---	786.3	0.00	---	---	---	---	---	---	---	0.013	0.000	18.4	29	0.1	16.3	---	---	1	---	30
10/02/01	12:00 a	17.7	17.7	17.7	30	-0.1	0.0	---	0.00	0.0	---	17.7	15.7	15.7	---	786.4	0.00	---	---	---	---	---	---	---	0.013	0.000	18.4	29	0.0	16.2	---	---	1	---	30
10/02/01	12:30 a	17.7	17.7	17.7	37	2.8	0.0	---	0.00	0.0	---	17.7	16.1	16.1	---	786.8	0.00	---	---	---	---	---	---	---	0.013	0.000	18.4	33	1.8	16.5	---	---	1	---	30
10/02/01	1:00 a	17.7	17.7	17.6	45	5.6	0.0	---	0.00	0.0	---	17.7	16.4	16.4	---	787.2	0.00	---	---	---	---	---	---	---	0.014	0.000	18.4	38	3.9	16.9	---	---	1	---	30
10/02/01	1:30 a	17.6	17.6	17.4	47	6.1	0.0	---	0.00	0.0	---	17.6	16.4	16.4	---	787.3	0.00	---	---	---	---	---	---	---	0.016	0.000	18.3	41	4.8	16.9	---	---	1	---	30
10/02/01	2:00 a	17.3	17.4	17.2	48	6.2	0.0	---	0.00	0.0	---	17.3	16.2	16.2	---	787.3	0.00	---	---	---	---	---	---	---	0.021	0.000	18.1	42	5.0	16.7	---	---	1	---	30
10/02/01	2:30 a	17.1	17.2	17.0	50	6.6	0.0	---	0.00	0.0	---	17.1	16.1	16.1	---	787.2	0.00	---	---	---	---	---	---	---	0.025	0.000	17.9	43	5.2	16.6	---	---	1	---	30
10/02/01	3:00 a	16.9	17.0	16.9	50	6.4	0.0	---	0.00	0.0	---	16.9	15.9	15.9	---	787.0	0.00	---	---	---	---	---	---	---	0.029	0.000	17.8	43	5.1	16.5	---	---	1	---	30
10/02/01	3:30 a	16.9	16.9	16.8	50	6.4	0.0	---	0.00	0.0	---	16.9	15.8	15.8	---	787.0	0.00	---	---	---	---	---	---	---	0.030	0.000	17.7	43	5.0	16.4	---	---	1	---	30
10/02/01	4:00 a	16.8	16.9	16.7	51	6.6	0.0	---	0.00	0.0	---	16.8	15.8	15.8	---	786.9	0.00	---	---	---	---	---	---	---	0.032	0.000	17.6	44	5.2	16.3	---	---	1	---	30
10/02/01	4:30 a	16.7	16.7	16.6	51	6.5	0.0	---	0.00	0.0	---	16.7	15.7	15.7	---	787.0	0.00	---	---	---	---	---	---	---	0.035	0.000	17.5	44	5.1	16.2	---	---	1	---	30
10/02/01	5:00 a	16.6	16.7	16.4	51	6.4	0.0	---	0.00	0.0	---	16.6	15.6	15.6	---	786.8	0.00	---	---	---	---	---	---	---	0.037	0.000	17.4	44	5.0	16.1	---	---	1	---	30
10/02/01	5:30 a	16.3	16.4	16.2	51	6.2	0.0	---	0.00	0.0	---	16.3	15.3	15.3	---	786.8	0.00	---	---	---	---	---	---	---	0.042	0.000	17.2	44	4.9	15.9	---	---	1	---	30
10/02/01	6:00 a	16.2	16.3	16.1	52	6.3	0.0	---	0.00	0.0	---	16.2	15.2	15.2	---	786.8	0.00	---	---	---	---	---	---	---	0.044	0.000	17.1	45	5.1	15.8	---	---	1	---	30
10/02/01	6:30 a	16.2	16.4	16.1	51	6.1	0.0	---	0.00	0.0	---	16.2	15.2	15.2	---	787.0	0.00	---	---	---	---	---	---	---	0.044	0.000	17.1	44	4.7	15.8	---	---	1	---	30
10/02/01	7:00 a	16.2	16.4	15.9	52	6.3	0.0	---	0.00	0.0	---	16.2	15.2	15.2	---	787.0	0.00	---	---	---	---	---	---	---	0.045	0.000	17.0	44	4.6	15.7	---	---	1	---	30
10/02/01	7:30 a	16.2	16.3	15.9	51	6.0	0.0	---	0.00	0.0	---	16.2	15.1	15.1	---	787.2	0.00	---	---	---	---	---	---	---	0.045	0.000	17.1	44	4.7	15.7	---	---	1	---	30
10/02/01	8:00 a	16.1	16.2	15.9	51	5.9	0.0	---	0.00	0.0	---	16.1	15.0	15.0	---	787.2	0.00	---	---	---	---	---	---	---	0.047	0.000	16.9	44	4.5	15.6	---	---	1	---	30
10/02/01	8:30 a	16.1	16.2	15.9	50	5.6	0.0	---	0.00	0.0	---	16.1	14.9	14.9	---	787.3	0.00	---	---	---	---	---	---	---	0.047	0.000	16.9	44	4.6	15.6	---	---	1	---	30
10/02/01	9:00 a	16.3	16.4	16.2	50	5.8	0.0	---	0.00	0.0	---	16.3	15.2	15.2	---	787.4	0.00	---	---	---	---	---	---	---	0.043	0.000	17.1	43	4.4	15.7	---	---	1	---	30
10/02/01	9:30 a	16.4	16.6	16.3	50	6.0	0.0	---	0.00	0.0	---	16.4	15.4	15.4	---	787.3	0.00	---	---	---	---	---	---	---	0.039	0.000	17.2	43	4.5	15.8	---	---	1	---	30
10/02/01	10:00 a	16.6	16.6	16.5	48	5.5	0.0	---	0.00	0.0	---	16.6	15.4	15.4	---	787.2	0.00	---	---	---	---	---	---	---	0.037	0.000	17.3	43	4.6	15.9	---	---	1	---	30
10/02/01	10:30 a	16.7	16.8	16.6	47	5.3	0.0	---	0.00	0.0	---	16.7	15.6	15.6	---	787.1	0.00	---	---	---	---	---	---	---	0.034	0.000	17.4	42	4.4	16.1	---	---	1	---	30
10/02/01	11:00 a	16.9	17.0	16.8	46	5.2	0.0	---	0.00	0.0	---	16.9	15.7	15.7	---	787.0	0.00	---	---	---	---	---	---	---	0.029	0.000	17.7	42	4.6	16.3	---	---	1	---	30
10/02/01	11:30 a	17.1	17.2	17.0	45	5.1	0.0	---	0.00	0.0	---	17.1	15.8	15.8	---	786.7	0.00	---	---	---	---	---	---	---	0.025	0.000	17.8	41	4.3	16.3	---	---	1	---	30
10/02/01	12:00 p	17.2	17.2	17.2	44	4.9	0.0	---	0.00	0.0	---	17.2	15.9	15.9	---	786.3	0.00	---	---	---	---	---	---	---	0.023	0.000	17.8	41	4.4	16.4	---	---	1	---	30
10/02/01	12:30 p	17.3	17.3	17.2	43	4.6	0.0	---	0.00	0.0	---	17.3	15.9	15.9	---	785.7	0.00	---	---	---	---	---	---	---	0.022	0.000	17.9	40	4.1	16.4	---	---	1	---	30
10/02/01	1:00 p	17.3	17.3	17.3	41	3.9	0.0	---	0.00	0.0	---	17.3	15.9	15.9	---	785.1	0.00	---	---	---	---	---	---	---	0.021	0.000	17.9	38	3.4	16.3	---	---	1	---	30
10/02/01	1:30 p	17.3	17.4	17.3	39	3.2	0.0	---	0.00	0.0	---	17.3	15.8	15.8	---	784.7	0.00	---	---	---	---	---	---	---	0.021	0.000	18.0	37	3.1	16.3	---	---	1	---	30
10/02/01	2:00 p	17.4	17.4	17.3	37	2.5	0.0	---	0.00	0.0	---	17.4	15.7	15.7	---	784.2	0.00	---	---	---	---	---	---	---	0.020	0.000	18.1	35	2.3	16.3	---	---	1	---	30
10/02/01	2:30 p	17.4	17.4	17.4	36	2.2	0.0	---	0.00	0.0	---	17.4	15.7	15.7	---	783.7	0.00	---	---	---	---	---	---	---	0.019	0.000	18.1	34	1.9	16.2	---	---	1	---	30
10/02/01	3:00 p	17.4	17.5	17.4	34	1.4	0.0	---	0.00	0.0	---	17.4	15.6	15.6	---	783.1	0.00	---	---	---	---	---	---	---	0.019	0.000	18.1	33	1.6	16.2	---	---	1	---	30
10/02/01	3:30 p	17.5	17.6	17.5	33	1.0	0.0	---	0.00	0.0	---	17.5	15.6	15.6	---	782.8	0.00	---	---	---	---	---	---	---	0.017	0.000	18.2	33	1.6	16.3	---	---	1	---	30
10/02/01	4:00 p	17.6	17.6	17.6	33	1.1	0.0	---	0.00	0.0	---	17.6	15.7	15.7	---	782.6	0.00	---	---	---	---	---	---	---	0.016	0.000	18.2	33	1.7	16.3	---	---	1	---	30
10/02/01	4:30 p	17.6	17.7	17.6	34	1.5	0.0	---	0.00	0.0	---	17.6	15.8	15.8	---	782.7	0.00	---	---	---	---	---	---	---	0.015	0.000	18.3	33	1.7	16.4	---	---	1	---	30
10/02/01	5:00 p	17.7	17.7	17.7	35	2.1	0.0	---	0.00	0.0	---	17.7	15.9	15.9	---	782.8	0.00	---	---	---	---	---	---	---	0.013	0.000	18.3	33	1.8	16.4	---	---	1	---	30
10/02/01	5:30 p	17.8	17.8	17.7	41	4.3	0.0	---	0.00	0.0	---	17.8	16.3	16.3	---	783.3	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	35	2.6	16.6	---	---	1	---	30
10/02/01	6:00 p	17.9	17.9	17.8	47	6.4	0.0	---	0.00	0.0	---	17.9	16.8	16.8	---	783.9	0.00	---	---	---	---	---	---	---	0.009	0.000	18.5	38	3.9	16.9	---	---	1	---	30
10/02/01	6:30 p	17.9	17.9	17.9	49	7.1	0.0	---	0.00	0.0	---	17.9	16.9	16.9	---	784.5	0.00	---	---	---	---	---	---	---	0.008	0.000	18.6	41	5.0	17.2	---	---	1	---	30
10/02/01	7:00 p	17.9	17.9	17.9	53	8.2	0.0	---	0.00	0.0	---	17.9	17.1	17.1	---	785.2	0.00	---	---	---	---	---	---	---	0.008	0.000	18.6	44	6.1	17.4	---	---	1	---	30
10/02/01	7:30 p	17.9	17.9	17.9	59	9.8	0.0	---	0.00	0.0	---	17.9	17.4	17.4	---	785.9	0.00	---	---	---	---	---	---	---	0.008	0.000	18.6	48	7.4	17.6	---	---	1	---	30
10/02/01	8:00 p	17.9	17.9	17.9	60	10.0	0.0	---	0.00	0.0	---	17.9	17.4	17.4	---	786.1	0.00	---	---	---	---	---	---	---	0.009	0.000	18.6	50	8.0	17.7	---	---	1	---	30
10/02/01	8:30 p	17.9	17.9	17.8	60	10.0	0.0	---	0.00	0.0	---	17.9	17.4	17.4	---	786.5	0.00	---	---	---	---	---	---	---	0.009	0.000	18.6	50	8.0	17.7	---	---	1	---	30
10/02/01	9:00 p	17.8	17.9	17.7	59	9.7	0.0	---	0.00	0.0	---	17.8	17.2	17.2	---	786.8	0.00	---	---	---	---	---	---	---	0.012	0.000	18.4	50	7.8	17.5	---	---	1	---	30
10/02/01	9:30 p	17.7	17.8	17.7	58	9.3	0.0	---	0.00	0.0	---	17.7	17.1	17.1	---	786.8	0.00	---	---	---	---	---	---	---	0.013	0.000	18.4	50	7.8	17.5	---	---	1	---	30
10/02/01	10:00 p	17.7	17.8	17.6	57	9.0	0.0	---	0.00	0.0	---	17.7	17.0	17.0	---	787.0	0.00	---	---	---	---	---	---	---	0.014	0.000	18.4	49	7.5	17.4	---	---	1	---	30
10/02/01	10:30 p	17.6	17.6	17.6	56	8.7	0.0	---	0.00	0.0	---	17.6	16.9	16.9	---	787.3	0.00	---	---	---	---	---	---	---	0.015	0.000	18.4	49	7.5	17.4	---	---	1	---	30
10/02/01	11:00 p	17.6	17.6	17.4	56	8.7	0.0	---	0.00	0.0	---	17.6	16.8	16.8	---	787.4	0.00	---	---	---	---	---	---	---	0.016	0.000	18.3	49	7.4	17.3	---	---	1	---	30
10/02/01	11:30 p	17.4	17.4	17.3	57	8.8	0.0	---	0.00	0.0	---	17.4	16.8	16.8	---	787.3	0.00	---	---	---	---	---	---	---	0.019	0.000	18.2	49	7.3	17.2	---	---	1	---	30
11/02/01	12:00 a	17.4	17.4	17.3	58	9.0	0.0	---	0.00	0.0	---	17.4	16.7	16.7	---	787.3	0.00	---	---	---	---	---	---	---	0.020	0.000	18.2	50	7.6	17.2	---	---	1	---	30
11/02/01	12:30 a	17.3	17.4	17.3	58	9.0	0.0	---	0.00	0.0	---	17.3	16.7	16.7	---	787.4	0.00	---	---	---	---	---	---	---	0.021	0.000	18.1	50	7.5	17.2	---	---	1	---	30
11/02/01	1:00 a	17.4	17.4	17.3	59	9.3	0.0	---	0.00	0.0	---	17.4	16.8	16.8	---	787.3	0.00	---	---	---	---	---	---	---	0.020	0.000	18.1	51	7.8	17.2	---	---	1	---	30
11/02/01	1:30 a	17.1	17.3	16.9	61	9.5	0.0	---	0.00	0.0	---	17.1	16.5	16.5	---	787.2	0.00	---	---	---	---	---	---	---	0.027	0.000	17.9	52	7.9	17.0	---	---	1	---	30
11/02/01	2:00 a	17.1	17.1	16.9	61	9.5	0.0	---	0.00	0.0	---	17.1	16.5	16.5	---	787.2	0.00	---	---	---	---	---	---	---	0.027	0.000	17.8	52	7.8	16.9	---	---	1	---	30
11/02/01	2:30 a	16.9	17.1	16.8	60	9.1	0.0	---	0.00	0.0	---	16.9	16.3	16.3	---	787.0	0.00	---	---	---	---	---	---	---	0.029	0.000	17.8	52	7.8	16.9	---	---	1	---	30
